,corpus,have_transition_plan
355,this spend associated planning consents.,False
356,our development activity varies significantly year year figure fluctuate.,False
357,overview considerate constructors fig.,False
358,"considerate constructors scheme scoring considerate constructors scheme updated fy22, details here: fig.",False
359,"the british land company plc (company number: ) signatory prompt payment code sets standards payment practices best practice administered chartered institute credit management behalf department business, energy industrial strategy (beis).",False
360,"regulations section 3 small business, enterprise employment act 2015 (and, limited liability partnerships (llps), limited liability partnerships act 2000), introduce duty uks largest companies llps report half-yearly basis payment practices, policies performance.",False
361,overview health safety fig.,False
362,overview health safety (continued) fig.,False
363,"in system, risks classed classed substantial, requiring resolution shorter timeframe previous compliance partner.",False
364,the significant dip 2020 resolved percentages indication transition new service provider subsequent work required integrate new classifications processes.,False
365,fig.,False
366,it includes lost days work-related accidents.,False
367,"the absentee rate calculated total days lost, relative total number days scheduled worked employees.",False
368,group employment fig.,False
369,"all numbers include maternity paternity leave, long term sick leave sabbatical.",False
370,overview group employment (continued) fig.,False
371,turnover rates based number leavers divided total number employees 31 march 2022.,False
372,overview group employment (continued) fig.,False
373,this compare gender pay ratios employees employment level.,False
374,please page 83 elements remuneration.,False
375,overview group employment (continued) fig.,False
376,overview group employment (continued) fig.,False
377,overview group employment (continued) fig.,False
378,overview group employment (continued) fig.,False
379,not mandatory training.,False
380,fig.,False
381,"employee training proportion category dse assessment training (previously referred health safety training), fell significantly year alternative focus working home returning office assessments.",False
382,dse assessment mandatory year employees undertake assessments appropriate.,False
383,participation levels dse assessment training expecting return higher rate 2023.,False
384,"we launched new cyber security awareness training year; mandatory course it team target reaching 85% trained, exceeded.",False
385,"as epra best practice recommendations, total energy water data covers energy water procured british land.",False
386,energy carbon intensity data covers building offices common parts retail.,False
387,water intensity data covers buildings offices common parts retail.,False
388,per m2 comprises net internal areas offices common parts retail.,False
389,overview epra index (continued) social performance1 area health & safety epra code h&s-emp indicator gri code 403-2 employee health safety h&s-asset 416-1 asset health safety h&s-comp comty-eng community engagement 416-2 413-1 proportion managed portfolio (floor area) community activity implemented governance governance gov-board 102-22 composition highest governance body gov-select 102-23 nominating selecting highest governance body gov-col 102-25 process managing conflicts 1.,False
390,employee data restated headcount fte.,False
391,overview sasb table this british lands sustainability accounts references indicators set sustainability accounting standards board (sasb) framework.,False
392,this index highlights existing reporting aligns framework provides limited data certain indicators previously reported against.,False
393,we continue consider reporting develop meet needs stakeholders.,False
394,"area energy management units kwhe sqm sasb code if-re-130a 1 location figure 8, p36 gri code 302-1 if-re-130a 2 302-1 if-re-130a 3 302-1 if-re-130a 4 if-re-130a 5 103-2 activity metric energy consumption data coverage percentage floor area, property subsector total energy consumed portfolio area data coverage, percentage grid electricity, percentage renewable, property subsector lfl change energy consumption portfolio area data coverage, property subsector percentage eligible portfolio (1) obtained energy rating (2) certified energy star, property subsector description building energy management consideration integrated property investment analysis operational strategy mwh figure 13, p40 mwh figure 12, p39 % floor area (sqm) figure 14, p41 discussion analysis energy carbon management integrated policies procedures.",False
395,"details pathway net zero1, sustainability brief developments operations2 sustainability brief acquisitions3 figure 18, p44 by floor area, 48%4 assets management located areas high water stress.",False
396,of office assets account 51% floor area areas high water stress retail assets account 22%.,False
397,"figure 16, p43 water management if-re-140a 1 water withdrawal data coverage percentage total floor area percentage regions high extremely high baseline water stress, property sector % floor area (ft2) if-re-140a 2 if-re-140a 3 if-re-140a 4 total water withdrawn portfolio area data coverage percentage regions high extremely high baseline water stress, property subsector lfl change water withdrawn portfolio area data coverage, property subsector discussion water management risks description strategies practices mitigate risks.",False
398,in 2022 undertook number independent water audits order identify existing potential issues.,False
399,"our pathway net zero, transition plan, available online 2.",False
400,our sustainability brief developments operations available online 3.,False
401,"overview sasb table (continued) area management tenant sustainability impacts sasb code if-re-410a 1 gri code activity metric percentage new leases contain cost recovery clause resource efficiency-related capital improvements associated leased floor area, property subsector units if-re-410a 2 percentage tenants separately metered submetered (1) grid electricity consumption (2) water withdrawals, property sector % floor area (ft2) if-re-410a 3 description approach measuring, incentivizing, improving sustainability impacts tenants.",False
402,our leases include sustainability clauses cost recovery clauses.,False
403,where lifecycle replacement requires replacement plant engage tenants encourage selection efficient option.,False
404,"our service charge agreement allows like-for-lie replacement plant equipment, use transition vehicle fund gaps efficient equipment installed.",False
405,"electricity figure 10, p38 water-our sustainability brief requires tenant sub-meters water new developments.",False
406,following net zero audits programme pathway major asset.,False
407,these pathways arebeing presented occupiers.,False
408,collaboration andcontribution occupiers essential.,False
409,sustainability impacts standing agenda item property management forums.,False
410,all tenants access data.,False
411,the following section provides specific explanations data figures above.,False
412,"it sets overall principles, boundaries, scope methodologies applied reporting sustainability data 2022 annual report accounts, sustainability accounts corporate website.",False
413,"the following sets overall principles, boundaries, scope methodologies applied reporting sustainability data 2022 annual report accounts, sustainability accounts (the report) corporate website.",False
414,further explanations provided section reporting criteria.,False
415,we report data issues relevant sustainability strategy.,False
416,data reported meaningful consistent dnvs assurance report included report assurance statement section.,False
417,data included scope dnvs assurance outlined section.,False
418,this dnvs year assurance partner.,False
419,the explanatory notes.,False
420,data presented transparently aid reader making judgements decisions performance confidence report.,False
421,data accurate complete practical feasible.,False
422,consistent boundaries methodologies possible allow comparisons time.,False
423,"assumptions, estimates exclusions stated explained.",False
424,we aim ensure data accurate comparable years possible.,False
425,"where updated new data available, restate data prior years restatement material.",False
426,details restatements provided relevant sections reporting criteria.,False
427,rounding mean columns sum precisely.,False
428,"we designed, implemented maintained internal controls processes information relevant measurement preparation assured data, best knowledge free material misstatement, fraud error.",False
429,"where data report assured, explicitly stated.",False
430,assets management assets owned managed british land including 100% joint ventures funds.,False
431,managed portfolio multi-let properties operational management influence control day-to-day operation facilities utilities.,False
432,"group offices floors areas occupied british land, including property management offices.",False
433,"in may 2018, brought wholly-owned property management subsidiary, broadgate estates, in-house, selling third-party property management portfolio savills.",False
434,"broadgate estates data included british land group data, stated otherwise.",False
435,we report data day-to-day operational management influence (our managed portfolio).,False
436,this includes assets 100% owned british land stake joint venture investment fund.,False
437,"as 31 march 2022, managed portfolio comprises 84% assets management.",False
438,performance overview sustainability reporting covid-19 the continually evolving circumstances caused covid-19 pandemic presented rapidly changing near term operating environment business navigate.,False
439,covid-19 significant impact number reporting areas 2021 2022 creating anomalous years.,False
440,"those areas impacted greenhouse gas emissions, energy use, water use, waste management, health safety community investment.",False
441,"for scope methodology indicator, refer relevant focus area section reporting criteria.",False
442,residential3 total 2022 48 59 9 116 number assets 2020 45 56 10 111 2021 54 50 10 114 1.,False
443,includes industrial leisure assets.,False
444,residential units belonging estate reported jointly.,False
445,table 2: our developments in planning/design committed/in construction/completed non-managed total 2022 36 0 36 number projects 2020 9 2021 37 0 37 34 0 43 1.,False
446,"scope changed fy21 reporting include projects formally committed line financial reporting, previous years reported projects 5m achieved planning.",False
447,"overview exceptions sustainability ratings, flood risk greenhouse gases, report 100% assets management.",False
448,"we report managed portfolio data portfolio type: offices, retail residential.",False
449,"for index intensity ratios, categorise retail assets shopping centres, retail parks, shopping villages high street retail.",False
450,"we report committed developments, developments construction developments completed financial year, stated.",False
451,we pro-rate information joint venture developments.,False
452,"we report developments data construction value: small (300,000 5 million) major (over 5 million).",False
453,multiple small developments contractor reported small.,False
454,"developments construction value 300,000 reported.",False
455,all 2022 data report covers financial year 1 april 2021 31 march 2022.,False
456,"most data tables report number assets reporting, total number assets, data applicable.",False
457,"data properties acquired, sold operating influence reported date purchase/ management date sale/management handover.",False
458,"we aim capture relevant data, but, feasible, estimate data pro-rate available data practical.",False
459,"where estimate, clear reporting criteria.",False
460,"since 2015, developments managed portfolio uk.",False
461,"to enable clearer comparison performance time, report like-for-like performance line guidelines european public real estate association (epra) assets portfolio years.",False
462,assets scope reported data excluded like-for-like comparison.,False
463,"as pathway net zero, monitor energy carbon intensity 2019 baseline assess progress 2030 energy net zero carbon intensity targets.",False
464,these targets based improvements building intensity.,False
465,"currently, robust building energy water data available offices.",False
466,at retail data covers landlord managed common parts include complete retail occupier consumption.,False
467,residential assets excluded scope.,False
468,"each property classified reported asset type: offices, retail parks, shopping centres (enclosed), shopping villages (unenclosed) high street retail.",False
469,scope 1 2 ghg emissions intensities epra reporting reported fig.,False
470,"for financial ratio, ghg emissions scope 1 2 financial intensity measures.",False
471,"properties included intensity calculations robust denominator data (floor area, footfall car park spaces) resource use data (energy water).",False
472,floor area car park spaces vary slightly year year refurbishment redevelopment work.,False
473,the scope net zero related energy carbon intensity reporting accordance guidelines published uk green building council.,False
474,"it includes electricity, natural gas on-site generator fuel.",False
475,"carbon intensity includes scope 1, 2 3 ghg emissions related energy sources plus emissions building sources waste disposal management water consumption.",False
476,energy intensity calculated kwh equivalent.,False
477,for offices: any new developments acquisitions new developments reached practical completion managed british land 18 months reached 80% occupancy.,False
478,any new acquisitions fully operational properties reached 80% occupancy.,False
479,"energy, carbon water relate building including landlord occupier areas plus vacant space.",False
480,floor areas relate net lettable areas (nla).,False
481,in 2021 floor area figures sourced mid-year valuations.,False
482,"for water intensity, occupier fte (full time equivalent) denominator.",False
483,estate areas (public realm) offices landlord managed supplies excluded intensity calculations.,False
484,for retail: any new developments acquisitions new developments reached practical completion managed british land 12 months reached 80% occupancy.,False
485,any new acquisitions fully operational properties reached 80% occupancy.,False
486,shopping centres: landlord common parts intensity reported occupier data obtained.,False
487,common parts floor area denominator energy carbon footfall water.,False
488,data relating vacant space excluded.,False
489,footfall estimated royal victoria place 2020.,False
490,retail parks: landlord common parts intensity reported occupier data obtained.,False
491,car park spaces denominator energy carbon footfall water.,False
492,data relating vacant space excluded.,False
493,one asset excluded intensity calculations based minimis rule: belcon industrial estate.,False
494,it negligible landlord procured common parts consumption appropriate denominator.,False
495,"footfall estimated champneys, newport harlech, st peters studlands retail parks 2021 champneys, newport harlech, st peters retail parks 2022.",False
496,"de mandeville blackwater retail parks, acquired fy22, included estimation calculation footfall data, measured estimated, unavailable.",False
497,"riverside, deepdale, a1 retail park, beaumont excluded fy22 incomplete data.",False
498,shopping villages high street retail: energy carbon intensity reported data available.,False
499,shopping villages external walkways common areas car parks enclosed.,False
500,neither common parts floor area car park spaces appropriate denominator absence occupier data.,False
501,water intensity reported shopping villages footfall denominator.,False
502,high street retail contain negligible landlord managed energy water consumption.,False
503,"these categories include following properties: shopping villages old market shopping centre, hereford whiteley shopping, fareham ealing 10-40 the broadway southgate shopping centre, bath high street retail 186 fulham road, london plymouth retail, new george street blocks 1 5 woolwich estate 2023 water target: we report progress 5% absolute improvement target total water consumption versus 2020 baseline like-for-like assets.",False
504,this encompasses retail office properties excludes residential.,False
505,properties managed portfolio 2020.,False
506,other intensity measures: group occupied floors relates nla occupied british land.,False
507,scope 1 2 ghg emissions financial intensity measures: we publish financial scope 1 2 ghg emissions intensity annual report accounts 2022.,False
508,financial intensity ratio expresses absolute scope 1 2 ghg emissions relation gross rental income properties managed portfolio.,False
509,"absolute scope 1 2 ghg emissions relate managed portfolio electricity, gas use refrigerant loss air conditioning, fuel use british land owned vehicles.",False
510,"overview gross rental income (gri) managed portfolio comprises group gri 2022 345 million (2021: 382 million), plus 100% gri generated joint ventures funds 2022 361 million (2021: 299 million), gri generated assets outside managed portfolio 2022 50 million (2021: 117 million).",False
511,figs.,False
512,refrigerant loss air conditioning units.,False
513,waste managed british land.,False
514,developments:major developments completed year.,False
515,"includes 100% ghg emissions developments, joint venture developments developments undertaken funding.",False
516,corporate:electricity floors areas occupied british land.,False
517,fuel use british land employee business travel.,False
518,"estimated based floor space, property type average electricity fuel consumption provided chartered institution building services engineers (cibse).",False
519,value chain: details value chain reporting reporting criteria fig.,False
520,a corporate accounting reporting standard revised edition uk government conversion factors company reporting 2021.,False
521,"ghg conversion emissions factors 2022 (see table 4) sourced uk department business, energy & industrial strategys (beis) 2021 guidelines.",False
522,"similarly, conversion factors 2021 2020 sourced beiss 2020 2019 guidelines.",False
523,the global warming potential greenhouse gas sourced ipcc fourth assessment report (ar4 100 year).,False
524,the greenhouse gas emissions reported tonnes carbon dioxide equivalent (co2e).,False
525,"this includes seven main ghg emissions covered kyoto greenhouse gas protocols, line common practice: carbon dioxide (co2), methane (ch4), hydrofluorocarbons (hfcs), nitrous oxide (n2o), perfluorocarbons (pfcs), sulphur hexafluoride (sf6) nitrogen trifluoride (nf3).",False
526,"emissions grouped scope 1, 2 3 accordance ghg protocol, follows: scope 1: combustion fuels, refrigerant loss.",False
527,scope 2: electricity use.,False
528,"scope 3: gas, oil, electricity transmission losses life-cycle emissions, water use, waste disposal (including emissions hazardous waste 2019), retail visitors office commuters travel, british land employee commuting homeworking, third-party procured energy non-managed assets business travel.",False
529,fig.,False
530,scope 1 2 absolute target: science based target initiative (sbti) target reported calculating absolute percentage reduction reporting years absolute location-based scope 1 2 ghg emissions versus baseline year 2020.,False
531,the reporting years total scope 1 2 ghg emissions prepared sourced figure 4.,False
532,"scope 3 intensity target: numerator intensity target annual sum (i) pro-rated embodied carbon new developments refurbishments (rics a1-a5 emissions), (ii) annual operational embodied carbon assets managed portfolio (rics b1-b5 emissions), (iii) occupier operational energy consumption assets managed portfolio (rics b6 emissions).",False
533,"a1-a5 emissions (embodied carbon construction stages new developments refurbishments carbon levy applies): includes ghg emissions new developments refurbishments, carbon levy applies, completed 2020 construction (stage 5).",False
534,"whole life carbon assessment built environment 1st edition, november, 2017.",False
535,actual/as built carbon intensity measured construction phase practical completion recalculation performed assess report remaining carbon emissions stage 4 final/as built assessment practical completion.,False
536,"for sbti numerator, a1-a5 emissions pro-rated duration construction project.",False
537,"at end construction, projects actual embodied carbon higher lower estimate, final years pro-rating adjusted account this.",False
538,"for example, four-year project estimated result 10,000 tonnes co2e claim 2,500 tonnes co2e year projects life.",False
539,"if actual project results 9,000 tonnes co2e, final years pro-rating reduced 2,500 1,500 tonnes co2e.",False
540,"b1-b5 emissions (embodied carbon operations managed assets): currently, ghg emissions estimated industry benchmarks developed industry expert simon sturgis (see table below).",False
541,"in future, british land intends monitor actual operational embodied emissions managed assets.",False
542,"offices shopping centres: nla inflated 25% approximate gia, line gresb common parts ratios (20-30% common parts).",False
543,"the denominator intensity target sum (i) net lettable area managed portfolio, (ii) pro-rated net lettable area developments construction completed reporting year.",False
544,overview net zero carbon developments fig.,False
545,"nzc2020standard:from april 2020, ourapproach includesthe minimisation embodied carbon intensity offsetting residual embodied carbon.",False
546,"nzc 2030 standard:as werolloutthefull2030 programme, british land incorporate theadditional criteriaof advanced modelling operational efficiency (through nabers uk),theminimisationof on-site fossil fuel combustion,theuse on-siterenewables renewable power newly installed(additional)sources.",False
547,"all new developments refurbishments, carbon levy applies, subject carbon levy required report embodied emissions offset zero practical completion.",False
548,embodied carbon calculated performing life carbon assessments aligned rics guidance whole life carbon assessment built environment 1st edition november 2017 breeam compliant life carbon software oneclick etool).,False
549,a emissions offset following practical completion.,False
550,"embodied carbon intensity: estimated (during development) final (following practical completion) embodied emissions rics stage a, reported kilogrammes co2e square meter gross internal area, excluding biogenic carbon.",False
551,"landlord operational efficiency/whole building operational efficiency (modelled): modelled operational energy efficiency development, reported kilowatt-hour equivalent net lettable area (in square metres) modelled enhanced building energy modelling (ebem) nabers design performance.",False
552,this modelling currently available offices only.,False
553,forecasted nabers energy star rating: indicates completed: refer projects achieved practical completion.,False
554,committed: refers development projects formal commitment progress development relevant pre-conditions met.,False
555,near term: refers projects start 12 months significant uncertainty intention commence development.,False
556,medium term: intention undertake development internal certain conditions satisfied (for example relating lease expiries planning).,False
557,"zero on-site fossil fuel combustion: indicates development use renewable bio-gas, green hydrogen, all-electric heating.",False
558,on-site additional ppa renewables: indicates forecasted operational energy provided on-site renewable energy generation and/or project-specific renewable energy power purchase agreements.,False
559,forecasted operational emissions subject carbon tax: indicates development project subject local government carbon taxes.,False
560,"an example greater london authority, policy requires developments achieve mayors carbon reduction targets, developer expected shortfall (residual emissions) off-site cash-in-lieu contribution local boroughs carbon offsetting fund.",False
561,this offsetting fund revenue-raising tax earmarked funding emissions reductions activities.,False
562,committed projects: refer projects approved executive board progress construction stage.,False
563,completed projects: refer projects achieved practical completion.,False
564,fig.,False
565,"all new developments refurbishments, carbon levy applies, required report embodied emissions offset zero practical completion.",False
566,embodied carbon calculated performing life carbon assessments aligned rics guidance whole life carbon assessment built environment 1st edition november 2017 breeam compliant life carbon software oneclick etool) excludes biogenic carbon.,False
567,rics assessments produced riba stage 2 updated stage reflect changes design inclusion low carbon materials.,False
568,overview greenhouse gas emissions fig.,False
569,"scope 2 emissions: managed portfolio electricity use common parts shared services corporate electricity use, reported fig.",False
570,"for 2019 2021, reported scope 2 emissions according location-based market-based method.",False
571,we use location-based method report total ghg emissions track performance 2019 baseline.,False
572,the location-based method ghg emissions reported previous years.,False
573,the location-based method reflects average emissions intensity grid.,False
574,we use beis uk grid average emissions factor location-based method (electricity generated scope 2 direct).,False
575,the market-based method reflects emissions electricity purchase.,False
576,we use supplier specific emission rates available residual mix emissions factor remaining supplies (see table 5).,False
577,"in 2022, 93% purchased electricity backed renewable energy guarantees origin (regos).",False
578,this based electricity contracts report energy suppliers assurance provider.,False
579,the regos retired annually june.,False
580,"in 2022, 85% purchased fuel backed renewable gas guarantees origin (rggos).",False
581,this based gas contracts report energy suppliers assurance provider.,False
582,"from 2020, market-based emissions office occupiers reported scope 3 market based.",False
583,managed portfolio occupier procured: energy consumption let space retail assets.,False
584,"in 2021 2020 estimated retail electricity fuel use based floor space, property type average electricity consumption provided chartered institution building services engineers (cibse).",False
585,we intend include reporting occupier procured water future years.,False
586,"estimated based floor space, property type average electricity fuel consumption provided chartered institution building services engineers (cibse).",False
587,"whole life emissions new builds major developments: upstream emissions rics product construction process stages (a1-a5), aligned rics whole life carbon assessment built environment (1st edition, nov 2017).",False
588,figures represent projects reached practical completion reporting year.,False
589,"whole life emissions new builds acquired: above, emissions rics modules a1-a5 acquisitions completed reporting year.",False
590,"in 2020/21, new builds acquired.",False
591,value chain employee commuting: emissions british land staff commuting.,False
592,estimated previous emissions estimates arup beacon tool 2016 pro-rating changes employee fte.,False
593,employee commuting reported fy21 small proportion employees commuted small year.,False
594,employee commuting calculated cover 7 months fy22 working home required.,False
595,value chain employee homeworking: estimated emissions homeworking reported fy21 fy22 employees worked british land office short period.,False
596,employee homeworking data calculated cover 5 months fy22 working home required.,False
597,value chain business travel: air travel: emissions staff business travel air.,False
598,"calculated (i) origin-destination codes travel class provided british lands travel management companies, (ii) great-circle distances great circle mapper ( ).",False
599,air travel emissions based emission factors domestic average passenger.,False
600,rail travel: emissions staff business travel rail.,False
601,"where available, calculated kilometres travelled travel class provided british lands travel management companies.",False
602,"where kilometres unavailable, estimated british lands average kilometres travelled gbp spent.",False
603,emissions tube travel excluded.,False
604,"car mileage: emissions staff travel car, excluding taxis.",False
605,this calculated exact claimed mileage expenses.,False
606,value chain retail visitor travel: emissions visitor travel retail assets.,False
607,"estimated based annual footfall, third-party surveys visitors mode duration travel.",False
608,overview value chain office occupier employee commuting emissions commute employees occupiers office assets.,False
609,estimated based surveys office campus workers mode transport distance travelled.,False
610,"in 2020, british land re-instituted collection water consumption data retail assets.",False
611,"in 2019, water use partially reported retail sites water data incomplete included fig.",False
612,"from 2019, scope 3 emissions include emissions hazardous waste disposal.",False
613,"developments: the scope limited major developments completed year, excluding fitouts public realm projects.",False
614,assessed accordancewithrics methodology guidance reported excluding biogenic carbon accordance final project assessment practical completion.,False
615,fig.,False
616,like-for-like scope 2 emissions reported according location-based method.,False
617,fig.,False
618,fig.,False
619,table 4 shows combined carbon-equivalent emission factors different ghgs considered.,False
620,petrol scope 3 (kg co2e/litre) lpg scope 1 (kg co2e/litre) lpg scope 3 (kg co2e/litre) uk 0.,False
621,overview fig 9.,False
622,internal carbon levy transition vehicle data table reported cumulative basis.,False
623,"from 01 april 2020, british land applied internal carbon levy 60 tonne co2e embodied carbon developments.",False
624,"this mechanism involves: offsetting from fy21, tonne embodied carbon produced new developments, british land earmark 20/tonne levy purchase carbon offset credits.",False
625,completed assets refers development projects completed subsequently entered british lands managed portfolio property assets.,False
626,"completed assets fy21 100 liverpool street st annes, 100 liverpool street offset fy21.",False
627,"st annes offset fy22, wider 1 triton square development project.",False
628,committed developments refer development projects formal commitment progress development relevant pre-conditions met.,False
629,"at close fy21, committed developments norton folgate, 1 broadgate 1 triton square.",False
630,for assets british land 100% asset figures adjusted reflected equity share.,False
631,british lands 50% offset matched jv partner ensure 100% offset embodied carbon.,False
632,"the remaining 40/tonne generated internal carbon levy result new developments directed transition vehicle, adjusted reflect british land equity share relevant.",False
633,the transition vehicle internal source funding retrofitting projects deliver improvements energy efficiency energy sourcing standing portfolio.,False
634,"float additionally, year fy21 british land invest 5m transition vehicle.",False
635,investment retrofitting investment energy/emissions saving initiatives standing assets.,False
636,repayment funding savings result energy/ emissions saving initiatives repaid transition vehicle costs met.,False
637,these funds invested retrofitting projects.,False
638,annual savings retrofitting: carbon savings greenhouse gas emissions savings calculations based direct energy savings initiative related upstream (scope 3) emissions savings.,False
639,energy savings power savings (kw) x total burning hours (adjusted occupancy change).,False
640,cost savings energy savings (kwh) x energy unit costs + savings associated reduced maintenance needs.,False
641,"for residential consists clarges mayfair high end residential the triton building, regents place landlord consumption minimis.",False
642,"where asset energy data partially unavailable, data adjacent periods estimate data missing periods.",False
643,"at retail properties, meters serve common parts occupier areas, sub-meter readings deducted meter total provide common parts consumption.",False
644,"where possible, split common parts occupier consumption estimated.",False
645,"where estimate available, mixed meters reported common parts.",False
646,"at majority managed offices, common parts, shared services occupier direct use sub-metered.",False
647,"where sub-metering available, split common parts, shared services occupier consumption estimated.",False
648,energy use relating vacant space vacant units included common parts.,False
649,energy use major development works assets deducted total consumption.,False
650,oil use measured possible.,False
651,"otherwise, estimated based methods reflect equipment for.",False
652,see table 4 fuel oil conversion factors.,False
653,"on-site renewables offices comprise photovoltaic panels offices: 1 triton square, 100 liverpool street, 6 orsman road, 10 portman square 20 triton street.",False
654,this energy site included common parts data.,False
655,"low carbon technologies offices include combined heat power (chp) plant 10 brock street, air source heat pump 350 euston road ground source heat pump 10 portman square.",False
656,the heat power output chp reported fig.,False
657,"on-site renewables retail includes photovoltaic panels whiteley, serpentine, st stephens, old market, drake circus leisure meadowhall.",False
658,energy generated st stephens serpentine green consumed site (common parts energy use) exported grid.,False
659,energy generated whiteley old market exported grid.,False
660,"for purpose greenhouse gas emissions calculations, assumed electricity generated retail sites exported grid.",False
661,proportion purchased electricity renewable sources calculated total renewable electricity purchased divided total purchased electricity.,False
662,proportion total electricity renewable sources calculated self-generated renewable electricity plus total renewable electricity purchased divided total electricity consumption.,False
663,the gross calorific value fuel conversions kwh.,False
664,"from 2019/20, included energy consumption flexible workspace offices (storey) reporting.",False
665,"generation relates electricity heat produced site, renewable and/or low carbon sources.",False
666,overview environmental leadership building certifications fig.,False
667,"where occurs, acceptableto default higher rating.",False
668,"where multiple sustainability certifications held building, following procedure applied determining certification reported.",False
669,"as development certificates (related buildings construction, refurbishment fit-out) significant undertakings certificates expire redevelopment space, default selection reporting development certification.",False
670,"however, operational certification sought purpose improving existing development rating, permitted substitute new operational rating place previous development certificates rating.",False
671,"however, operational certifications differ development certifications fronts, certifications seen complementing (rather replacing) other.",False
672,the code sustainable homes withdrawn march 2015 new developments.,False
673,all current certificates valid.,False
674,this certification requirement requested existing planning consents.,False
675,"from 2019, reporting residential developments track achieve bre home quality mark.",False
676,developments: developments hold pre-assessed ratings certificates achieved design stage; provided certified assessors.,False
677,"it possible development scores change final certification, occurs post completion.",False
678,final building certifications reported provided certified assessors official final certificate reported assetssection.,False
679,we aim achieve date version breeam appropriate development.,False
680,"we target breeam outstanding offices, excellent retail home quality mark 3* residential.",False
681,"we target leisure, canada water meeting local authoritys target rating.",False
682,"assets: existing portfolio hold breeam design stage, completion (final), in use 2016 major developments hold breeam completion in-use certification.",False
683,this table uses floor areas british land financial reporting.,False
684,"accordingly, annual updates adjustments undertaken intent align financial reporting.",False
685,these floor areas sourced property valuations.,False
686,"in general, offices shopping centres floor areas represent net internal area (nia), retail parks floor areas represent gross internal area (gia).",False
687,in 2021 floor areas primarily sourced mid-year valuation reports.,False
688,"existence zero values: asset exceptionally small valuation british land holds freehold reported zero floor area financial reporting, mirrored sustainability reporting.",False
689,"sustainability-linked revolving credit facility kpis: in 2020, british land completed sustainability-linked revolving credit facility incentivise coverage quality sustainability ratings portfolio.",False
690,the facility includes adjustment payable based british lands annual performance relative agreed sustainability kpis.,False
691,"the sustainability kpis (i) percentage development projects track achieve breeam excellent above, (ii) percentage assets management breeam certificate very good above.",False
692,"these kpis use data sets developments assets sections, residential properties excluded scope.",False
693,fig.,False
694,scope: includes units properties rated a-g classified missing.,False
695,assets missing epcs currently epc lodged require epc.,False
696,assets currently development included scope.,False
697,assets planned development currently managed portfolio included scope.,False
698,assets require epc lodged excluded scope.,False
699,"sectors: office sector includes offices, small retail assets.",False
700,ground floor retail units office buildings campuses included.,False
701,the office sector includes life sciences.,False
702,retail sector includes retail leisure assets logistics assets.,False
703,it includes small number offices located retail property.,False
704,whole portfolio includes office retail sectors outlined residential asset epc required.,False
705,assets going development: these assets publicly announced future developments.,False
706,overview water use fig.,False
707,"in offices, report building use, insufficient sub-metering otherwise.",False
708,"in retail residential, report common parts use.",False
709,"note: mains water refers municipal water epra guidance, borehole water ground water, on-site harvesting rainwater harvesting.",False
710,"where asset water data partially unavailable, data adjacent periods estimate data missing periods.",False
711,borehole water relates use common parts meadowhall.,False
712,some borehole water backwash cleaning filters associated borehole plant.,False
713,this water reported.,False
714,waste materials fig.,False
715,occupier waste managed reported.,False
716,"waste sent material recovery facility (mrf) included recycling, incineration and/or landfill figures.",False
717,"mrf output calculated site level, monthly, based facilitys average performance.",False
718,"waste data estimated sites march 2022, data previous period site team operational knowledge.",False
719,"from fy22 waste data captured sites split excavation, demolition construction, hazardous non hazardous categories.",False
720,re-use recycling site refer waste generated re-used recycled location.,False
721,we longer reporting waste re-use site define materials use project waste.,False
722,landfill tax costs indicative only.,False
723,"see waste data estimated sites march2022, data previous period site team operational knowledge.",False
724,fig.,False
725,overview physical risks fig.,False
726,significant incidents involve party help solve mitigate problem reported relevant local authority environment agency.,False
727,the proportion iso coverage major developments managed portfolio.,False
728,major developments our iso certification covers provision development projects construction value 5m (where 50%) design construction handover (riba stages 0 6).,False
729,extreme weather (flood risk) metrics cover assets management high flood risk defined assets located areas withaflood frequency 100 year return period.,False
730,"floodrisk assessed expert analysis undertaken willis towers watson, included theuse flood riskdata munich re nathan, jbaand cmip5.",False
731,exposure incorporates consideration oflocal flood defences.,False
732,the proportion high flood risk assets flood risk management plans calculated proportion asset value.,False
733,resource efficiency metrics sourced figs.,False
734,energy sources metrics sourced figs.,False
735,portfolio green building ratings sourced fig.,False
736,proportion gross rental income (gri) breeam certified assets ratio gri derived assets breeam certification total gri.,False
737,biodiversity fig.,False
738,"information based formal ecologists reports design team commitments, applicable.",False
739,reporting new construction major renovation projects designed achieve 10% net gain biodiversity removed fig.,False
740,there risk double counting net improvements 10% net gain indicators reported against.,False
741,"the sustainability brief review fy23 new, appropriate, reporting metrics included sustainability accounts fy23 result.",False
742,"a site specific biodiversity action plan guiding document sets british land protect, seek enhance, biodiversity sites.",False
743,"community engagement proportion assets (floorarea)where community activity implementedis reported line epra guidance, percentage total floor space (for alldirectly managedassets, excluding developments).",False
744,initiatives defined activity supports strategic community investment programme.,False
745,"they tend ongoing, scalable and/or repeated, include pilot initiatives.",False
746,"if initiative run multiple sites, counted site.",False
747,"initiatives reported outcomes initiative achieved reporting year, following criteria set fig.",False
748,excluded initiatives figures one-off ad hoc activities.,False
749,"if series programme related activity took place group offices site, initiative counted site.",False
750,"further details here: sustainability/society/bright-lights initiatives include: those initiatives run places, broadgate connect partnership capital city partnership fort kinnaird.",False
