words,GT
"Developing Sustainable Communities TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 ISO REASONABLE ASSURANCE STATEMENT LRQAs Opinion Based on LRQAs approach, the total direct GHG emissions and energy indirect GHG emissions and other indirect GHG emissions arising from construction main contractors' activities (fuel used in power generators and heavy vehicles, purchased electricity, electricity upstream emissions and transmission losses and water usage) for property development operations, electricity upstream emissions, distribution and transmission losses, local and international courier services, employee commute, overseas business travel (excluding the influence of radiative forcing) and overseas hotel accommodations, water supply and water treatment for corporate office and asset management operations, as disclosed in the GHG report and as summarized in Table 1 below, are materially correct, and that the GHG Report has been prepared in conformance with ISO -1:2006.",1
This Assurance Statement is only valid when published with the GHG Report to which it refers.,0
"If reporting an intensity ratio for other indirect (Scope 3) GHG emissions, report this intensity ratio separately from the intensity ratios for direct (Scope 1) and energy indirect (Scope 2) emissions.",1
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 5.",0
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 Critical Material Issues 8.",0
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 Moderate Material Issues 12.",0
"O R T 2 0 2 2 TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 Observations and areas for improvement Our observations and areas for improvement will be raised in an internal report to CDLs Management.",0
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 Requirements REQ-10 Restatements REQ-11 Conformance REQ-12 Assurance Disclosures under shall requirements Disclosures shall report and explain any prior year restatements.",0
"Recommendations CDLs disclosures in relation to the TCFD Recommendations, as presented in CDLs 2022 Integrated Sustainability Report which excludes the assumptions and approach supporting CDLs scenario analysis and portfolio analysis.",0
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 Criteria applied by CDL In preparing the report, CDL applied the CDSB Framework and TCFD Recommendations (Criteria).",0
"TCFD, CDSB & SASB Disclosures Assurance Statements GRI Content Index Glossary GRI 2-5 procedures relating to checking aggregation or calculation of data within IT systems.",0
The report also references the United Nations (UN) Sustainable Development Goals and the Manager is taking steps to integrate the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD) in its reporting.,0
Ambitious ESG targets have been set which include carbon emissions reduction targets validated by the Science Based Targets initiative (SBTi).,1
"In November 2020, CapitaLand had its emissions reduction targets approved by the Science-based Targets initiative (SBTi) for a well-below 2C scenario.",1
TCFD CICT TASKFORCE FOR CLIMATE-RELATED FINANCIAL DISCLOSURE (TCFD) REPORT CICT is making a progress update of its climate-related disclosure in line with Taskforce for Climate-related Financial Disclosure (TCFD).,1
"CICTs sponsor and substantial unitholder, CapitaLand Investment (CLI) had started to align its climate related disclosures with TCFD recommendations in the four key areas of governance, strategy, risk management and metric and targets since 2017 and further declared its support for TCFD and its recommendations in 2019.",1
"As such, CICT is closely referring to CLIs reporting where applicable and is committed to continue adopting TCFD recommendations.",0
"TCFD Through the implementation of the Groups Sustainable Building Guidelines (SBG), the aim is to identify and address the risks and opportunities of climate change right from the design stage.",0
"TCFD that will targets strengthen Singapores commitments under the United Nations 2030 Sustainable Development Agenda and Paris Agreement, and position Singapore to achieve her long-term net zero emissions aspiration as soon as viable, are also monitored by CICT as they affect the day-to-day operations and practices of the Trust.",0
"TCFD Metrics and Targets At the Group level, CLI has tracked and reduced the carbon emissions of its managed and owned operational properties, including those of CICT, via its cloud-based Environmental Tracking System.",0
"Since 2010, CapitaLand has been disclosing scope 1, 2 and 3 GHG emissions of its global portfolio and the data has been externally assured.",1
"To calculate its carbon emissions, CICT takes guidance from the operational control approach as defined by the GHG Protocol Corporate Standard, in line with the Group.",1
Our footprint is calculated in accordance with the Greenhouse Gas (GHG) Protocol4.,1
Completed property asset plans will roll up to a national portfolio greenhouse gas reduction action plan modeled to achieve FCR SBTi 2030 target and and long-term net-zero target.,1
"Develop a multi-year plan to align our disclosures with the Task Force on Climate-related Financial Disclosures (TCFD) recommendations, striving to be ahead of any mandatory requirements.",1
Create Climate Risk & Opportunities Action Plan based on outcomes of the TCFD Working Group.,0
The Statement has been prepared with reference to the recommendations of the Task Force on Climate-related FinancialDisclosures (TCFD).,1
This is GPTs third Climate Disclosure Statement prepared in alignment with the recommendations of the Task Force on Climate-related Financial Disclosures (TCFD).,1
Directors have participated in climate risk training incorporating the TCFD framework.,1
"TCFD was established in 2015 by the FSB to improve and increase reporting of climate-related financial information, and the first recommendations was released in 2017.",0
"GHG Protocol establishes comprehensive global standardised frameworks to measure and manage GHG emissions from private and public sector operations, value chains and mitigation actions.",1
"The GHG Protocol works with governments, industry associations, NGOs, businesses and other organisations.",0
"The TCFD was established by the Financial Stability Board to develop recommendations for more effective climate-related disclosures that could promote more informed investment, credit, and insurance underwriting decisions and, in turn, enable stakeholders understanding of the concentrations of carbon-related assets in the financial sector and the financial systems exposures to climate-related risks.",0
We have formalised TCFD reporting We embraced the TCFD recommendations in 2018 before they became mandatory and apprised our Board of our climate risks.,1
"In 2021, as the TCFD recommendations and recommended disclosures became mandatory, we published a new Managing Climate Risks report.",1
"We also developed bespoke TCFD training for Executive and Non-executive Board members in 2021, strengthening their understanding of climate risk disclosure and our approach to climate risk.",0
"Key activities in 2021 to further our compliance included TCFD training for Board and GEC members, and climate scenario analysis work presented to the GEC.",0
Our Managing Climate Risk Report includes our updated TCFD progress.,0
"Climate Risk Since 2019 we have been responding to the Task Force for Climate-related Disclosures (TCFD) recommendations, outlining how we will identify, manage and respond to climate risks.",0
"In 2021 we worked with Deloitte to identify key risks and opportunities group wide through climate scenario planning, and trained both Executive and Non-executive board members on TCFD expectations and requirements.",1
"We seek to: Minimise operational Greenhouse Gas (GHG) emissions with respect to heating and cooling systems, implementing a combination of highly efficient air source and water to water heat pumps; resulting in zero fossil fuel consumption anywhere on site.",0
In 2021 we engaged an external expert to support us with a three stage process: We outline our approach to managing risk and look at our response to the recommendations of the Task Force for Climate-related Disclosures (TCFD) in Managing Climate high level climate scenario narratives created.,1
"Climate-related regulation in relation to Hammersons existing portfolio results in significantly higher costs Response As outlined here, we responded to the TCFD recommendations early and have already built capabilities across the business and in our boards that is needed to respond to growing climate-related regulation.",1
"The training aimed to build understanding of the new requirements to disclose climate-related financial information, particularly around the Task Force for Climate-related Disclosures (TCFD) recommendations.",0
"Mandatory GHG reporting In 2021 we issued a Sustainability Linked Bond, linking two sustainability KPIs to how we raise finance for the business.",0
REPORTING ON RISK MANAGEMENT We support the recommendations of the Taskforce for Climate-related Financial Disclosures (TCFD) and our response to the recommendations can be found in our Managing Climate Risk report.,1
GHG emissions Greenhouse Gas emissions Emissions of those gases that contribute to the greenhouse effect.,0
Task Force for Climate Related Financial Disclosures (TCFD) Voluntary climate-related financial disclosures developed by the Financial Stability Board.,0
CSR & INNOVATION Promoting low-carbon living Promoting innovation SBTi approval for Icades low-carbon pathway.,0
These new commitments aim to comply with the new Net-Zero Standard developed by the international Science Based Targets initiative (SBTi).,1
"Measuring the carbon footprint To ensure climate action transparency, Icade follows the Recommendations of the Task Force on Climate-related Financial Disclosures (TCFD).",1
"Renewable energy: to comply with the GHG Protocol, Icade does not deduct its CO2 emissions avoided by buying green certificates (which guarantee the purchase of renewable electricity) from the calculation of the Office Property Investment Divisions overall carbon intensity.",1
The Task Force on Climate-related Financial Disclosures (TCFD) is a framework developed to support companies disclosure of their climate-related risks and opportunities.,0
Klpierre has been responding to the TCFD framework since 2020.,1
"Since 2020, Klpierre has published its sustainability data in line with the Real Estate Sustainability Accounting Standards defined by SASB (Sustainability Accounting Standards Board).",1
"Emissions from upstream leasing are not included in the Scope 3 calculations, but they represent a non-material share of Klpierres global GHG emissions (assets for which Klepierre is a tenant).",1
"GHG emissions are calculated using a survey on visitor travel habits (to and from shopping centers), extrapolated in line with the total numberof visitors.",0
"Klpierre tracks its direct greenhouse gas (GHG) emissions in accordance with Scopes 1 & 2 of the GHG Protocol, using both location-and market-based methods.",1
"Not only does this initiative lower costs, but helps to reduce GHG emissions due to a reduction in waste transportation.",0
"Industry frameworks The environmental and societal management system take into account the recommendations included in the leading industry and/ or international frameworks, namely: Global Reporting Initiative (GRI) Standards; European Public Real Estate Association (EPRA) Sustainability Best Practices Recommendations; French Council of Shopping Centers (Conseil national des centres commerciaux CNCC) CSR industry reporting guide/Non-financial performance statement; United Nations (UN) Sustainable Development Goals (SDGs); Taskforce on Climate-related Financial Disclosures (TCFD); Sustainability Accounting Standards Board (SASB).",1
Real Estate Standards and with the Task Force on Climate-related Financial Disclosures (TCFD).,0
SDG 13 13 7 9 9 1 8 17 GOAL Net zero and GHG Emissions.,0
Reduce Scope 1 and 2 GHG 21% from a 2016 baseline by 2025.,1
Reduce Scope 3 GHG 15% from a 2016 baseline by 2025.,1
Achieve 100% carbon neutral construction by 2025 On track Offset 20% of the estimated GHG emissions from projects that completed construction in 2021.,0
It includes several interim targets: 1 GW of solar generation capacity (supported by storage) by 2025 Carbon neutral construction by 2025 Net zero for operations by 2030 We have submitted a letter of commitment regarding its net zero goal to the Science Based Target initiative (SBTi) for validation.,1
"The tool uses data from a leading global reinsurer, including a range of natural hazard factors and three GHG emissions trajectories.",0
More information on our approach to climate risk management can be found in our TCFD disclosure.,0
Additional detail on our approach to climate risk is in Sustainable Logistics and in our TCFD disclosure.,0
"We can optimize energy use and minimize greenhouse gas (GHG) emissions by: Operating buildings more efficiently (electrification, LED lighting, cool roofs) Generating and delivering renewable energy to our customers to support their operations, including their use of EVs Pursuing sustainable building certifications for all new developments and redevelopments.",0
"As part of our increased focus on data, we are reviewing our GHG emissions methodology and data systems to create better visibility into reduction opportunities as our business both grows and decarbonizes.",1
"In 2021, we purchased offsets for approximately 20% (~240,000 metric tons of CO2e) of our 2021 construction-related GHG emissions.",0
"PEOPLE RESILIENT COMMUNITIES APPENDIX SASB Disclosure Prologis supports the mission of the Sustainability Accounting Standards Board (SASB), which creates industry-specific sustainability accounting standards that help companies disclose financially material, decision-useful environmental, social and governance (ESG) information to investors.",1
This is the fourth year that Prologis is disclosing data using SASBs 2018 Real Estate Standard.,1
"PEOPLE RESILIENT COMMUNITIES APPENDIX 2021 TCFD Disclosure Prologis approach to identifying and managing climate-related risks and opportunities in line with the recommendation of the Taskforce on Climate-related Financial Disclosure (TCFD) encompasses: Dynamic risk management strategy focused on resiliency Evaluating physical climate risk exposure at the asset level using science-based climate scenarios Following a Science Based Target (SBT) for determining greenhouse gas (GHG) emissions reduction targets across scope 1, 2 and 3 emissions Prologis has an established track record of ensuring its portfolio remains resilient for its customers and stakeholders.",1
"Other components include being a listed TCFD supporter, TCFD-aligned public disclosures, engagement from our executive team and board members in evaluating climate-related risks through briefings by the ESG and Risk Management groups, and a robust program to track our efforts through metrics and targets, including our approved SBT.",1
"Our updated SBT will guide our transition to a low-carbon future by reducing GHG emissions across our operations, portfolio of assets and throughout our value chain.",0
Our approach Risk management TCFD OUR BUSINESS About Swire Pacific Swire Pacific is a Hong Kong-based international conglomerate with a diversified portfolio of market leading businesses.,0
Our approach Risk management TCFD Sustainable finance Linking ESG performance metrics to our financing mechanisms demonstrates that we are serious about being a sustainable business.,0
"The SDO coordinates the SGEC and five working groups responsible for defining our climate, waste, water and sustainable supply chain approaches and our response to the Task Force on Climate-related Financial Disclosures (TCFD).",0
Our approach Risk management TCFD Policy review process Indices and rankings We regularly review our policies relating to sustainability.,0
"Our approach Risk management TCFD OUR BUSINESS Risk management About the GRMC Enterprise risk management The GRMC provides oversight on all the risks to which the Group is exposed, except for those expressly covered by the Finance Committee.",0
Our approach Risk management TCFD OUR BUSINESS Task force on climate-related financial disclosures Swire Pacific supports the recommendations of the Financial Stability Boards Task Force on Climate-related Financial Disclosures (TCFD) and started producing annual disclosures that consider these recommendations in 2018.,1
"The following statement, structured in line with the recommended disclosures of the TCFD, details the risks and opportunities presented by climate change, their implications for our businesses and actions we are taking to respond.",1
"Our approach Risk management TCFD Describe the impact of climate-related risks and opportunities on the organisations businesses, strategy, and financial planning.",0
"Our approach Risk management TCFD For Swire Pacific, MAAL is calculated using the insured value of each asset.",0
"Our approach Risk management TCFD Investments Due to the high levels of associated emissions in our aviation investments, we have included a summary of their potential climate-related risks.",0
Our approach Risk management TCFD Risk Management Describe the organisations processes for identifying and assessing climate-related risks.,0
"In 2022, via the Climate and TCFD working groups we are working with a consultancy to incorporate the results from the Climanomics assessment into a broader climate scenario analysis.",0
"The metrics used by our operating companies can be found in their own sustainability reports Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 GHG emissions, and the related risks.",1
Reducing GHG emissions Our ambition is to achieve net zero emissions by 2050.,0
But our priority is to reduce our absolute GHG emissions as much as we can first.,0
"Group performance: Scope 1 and 2 emissions The Group generated 683 thousand tonnes of GHG emissions in 2021, a 12% decrease from 2020.",1
"Despite using more energy overall, Swire Coca-Cola and Swire Properties reduced their absolute GHG emissions by 4% and 8% respectively.",0
Electricity consumption is our largest source of GHG emissions.,0
"At 31 Dec 2021 Cathay Pacific Group 45% 2021 6,060 2020 7,589 2021 2,727 2020 3,415 % change-20% Scope 3 emissions The majority of our GHG emissions occur outside our direct operations.",1
"Swire Pacific has a significant interest in Cathay Pacific, and accounts for a proportion of its GHG emissions under our scope 3.",1
Swire Pacific Offshore is committed to reducing its emissions in line with the International Maritime Organisation (IMO) target of at least a 50% reduction in GHG emissions by 2050 compared with 2008.,0
"A TCFD working group comprising sustainability, finance and risk team members was formed in 2020.",0
"It is developing Group disclosure guidelines, reviewing information about risks and determining a timeline for full disclosure to TCFD.",1
See the TCFD section for more information.,0
This assessment will help us to align our climate change disclosures with the recommendations of TCFD.,0
We will strengthen our TCFD reporting and will map our scope 3 emissions.,1
We refer to the Task Force on Climate-related Financial Disclosures (TCFD) and the GHG Protocol.,1
We account for a proportion of the Cathay Pacific Groups total GHG emissions under the Groups scope 3 emissions.,1
"Introduction Our business SwireTHRIVE About our report Other ESG disclosures Appendices Performance data External initiatives, charters and memberships GRI / HKEX table Glossary S T W SBTi Science Based Targets initiative.",0
